Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
3027.09,3128.52,2996.39,3118.7,1820.19046,5371,2022-04-13,ETH,2958.9685999999997,,3060.405509344492,3029.714066984484
3112.44,3145.75,2976.95,3018.91,1825.86732,6036,2022-04-14,ETH,2967.8277999999996,,3058.7782344682378,3029.60656383041
3022.36,3059.34,2994.25,3041.39,1243.14985,3680,2022-04-15,ETH,2976.6794,,3058.096342920464,3029.7238119515005
3040.65,3085.57,3010.63,3058.44,793.55812,3422,2022-04-16,ETH,2982.4762,,3058.109819668681,3030.0095451659136
3060.08,3082.05,2983.35,2988.08,1364.49026,4983,2022-04-17,ETH,2986.6752,,3055.3635522306936,3029.592335761278
2987.32,3069.69,2882.45,3055.48,2624.49506,8607,2022-04-18,ETH,2995.4824,,3055.368118809882,3029.8499244601708
3055.17,3131.66,3030.91,3102.62,1768.90204,5379,2022-04-19,ETH,2999.0842,,3057.221133758514,3030.5740048138014
3100.81,3166.53,3037.18,3076.4,1687.86257,6816,2022-04-20,ETH,3001.0991999999997,,3057.973246160141,3031.0299848654054
3076.45,3180.17,2942.57,2985.33,2934.91101,7939,2022-04-21,ETH,3001.8388,,3055.124491408763,3030.5752586478393
2983.53,3032.44,2933.9,2962.97,2324.45072,6833,2022-04-22,ETH,3004.3821999999996,,3051.51058978489,3029.902569507065
2963.0,2978.33,2916.47,2932.01,794.8696,2443,2022-04-23,ETH,3010.6027999999997,,3046.824292146267,3028.9285140890847
2930.46,2967.37,2912.42,2918.66,1190.01722,3396,2022-04-24,ETH,3015.6446,,3041.7982414738644,3027.83131494392
2923.68,3025.71,2796.62,3005.4,3293.62714,8801,2022-04-25,ETH,3024.7906,,3040.370859455282,3027.608117780299
3007.12,3037.7,2766.79,2809.95,2808.48698,9089,2022-04-26,ETH,3031.0928000000004,,3031.3347473197805,3025.442365364575
2810.8,2919.43,2794.87,2888.55,1952.5378,7772,2022-04-27,ETH,3037.3253999999997,,3025.735345464103,3024.08025227637
2888.55,2980.21,2854.96,2937.5,1887.17608,8618,2022-04-28,ETH,3041.4485999999997,,3022.2751358380597,3023.218757228844
2937.65,2946.35,2776.58,2815.09,2296.04002,6614,2022-04-29,ETH,3045.6209999999996,,3014.150228550293,3021.1478243210945
2816.65,2841.56,2716.14,2728.01,1466.07502,5047,2022-04-30,ETH,3049.0552000000002,,3002.9290431169484,3018.2310300492427
2727.09,2848.34,2716.89,2824.2,1398.15412,5123,2022-05-01,ETH,3054.1130000000003,,2995.9200610339312,3016.3003730338273
2827.58,2883.02,2778.65,2855.84,1624.41434,6358,2022-05-02,ETH,3060.8676,,2990.4267253071107,3014.7037524066254
2857.44,2861.21,2755.0,2780.84,1025.04317,4298,2022-05-03,ETH,3064.6856,,2982.2076380401654,3012.376749895117
2780.84,2966.87,2771.51,2940.67,1852.08891,8027,2022-05-04,ETH,3071.1041999999998,,2980.578711058198,3011.663249896161
2940.64,2953.98,2689.12,2746.38,2346.56384,8162,2022-05-05,ETH,3070.5051999999996,,2971.394447879445,3009.023615568836
2748.75,2757.94,2633.69,2694.2,2098.08583,7936,2022-05-06,ETH,3068.1135999999997,,2960.524077374369,3005.8910422795934
