Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
413.7628,421.5233,405.7382,409.9979,2984.0,1745,2022-03-25,BNB,393.0514380000001,,395.12446506728395,417.43615991179183
410.3692,416.3476,407.4228,416.1435,1094.2,744,2022-03-26,BNB,393.38004799999993,,395.9487409469983,417.4232976241123
415.8341,431.5522,411.5877,430.8164,2365.1,1763,2022-03-27,BNB,393.71693,,397.31610012554745,417.5565623243699
430.1631,440.9376,427.7117,429.4549,3788.6,2325,2022-03-28,BNB,393.90232599999996,,398.57644521866325,417.67495374402796
429.7421,441.6399,429.4423,434.754,2712.5,1891,2022-03-29,BNB,393.944712,,399.99517285714705,417.84489450279386
434.0,449.3867,425.768,441.7739,2885.08,2237,2022-03-30,BNB,394.62730000000005,,401.6335543137295,418.08299405998
441.7563,452.0545,424.0441,428.243,3399.65,2598,2022-03-31,BNB,394.73222000000004,,402.67706198770094,418.1840886464479
429.3241,448.0877,413.3636,447.5609,3703.2,2245,2022-04-01,BNB,395.38648199999994,,404.4372124979872,418.4763952270803
447.5696,454.0116,435.8919,436.6136,1623.3,1643,2022-04-02,BNB,396.127404,,405.69903161571324,418.65686492631335
437.3934,455.6235,432.24,450.388,2168.0,1432,2022-04-03,BNB,397.068326,,407.4515401798029,418.97259761361374
450.093,450.093,433.6997,447.9357,3456.6,2129,2022-04-04,BNB,398.06746400000003,,409.03915429039887,419.26078768711017
447.7696,459.9536,444.2367,445.4475,2360.49,2045,2022-04-05,BNB,398.912866,,410.46693255352045,419.521351988731
444.1665,444.5436,418.4771,420.3319,2791.7,2020,2022-04-06,BNB,398.691444,,410.8537940220098,419.529417143072
420.3319,438.2745,416.6418,435.9827,2395.7,1379,2022-04-07,BNB,398.87069800000006,,411.83924131526436,419.6931314003549
436.0852,440.9525,418.409,422.0365,2882.3,1396,2022-04-08,BNB,399.25172200000003,,412.239133812705,419.7164485008489
421.5747,427.9728,419.7058,427.01,1210.2,915,2022-04-09,BNB,399.79196,,412.81838346710873,419.7890211525818
427.0,429.3627,417.2599,417.2599,1600.1,1077,2022-04-10,BNB,400.13877399999996,,412.99256058604567,419.76385576797907
417.5532,419.5011,391.3416,394.4475,2823.0,1847,2022-04-11,BNB,400.418854,,412.2653033081615,419.51195173048677
