Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
42896.38,44214.84,42611.81,43970.89,121.653184,10004,2022-03-24,BTC,40853.6278,,40713.41613976865,41144.14534649946
43970.9,45083.72,43569.36,44272.03,97.125217,7560,2022-03-25,BTC,40993.145,,40852.9696244836,41175.268576882554
44319.69,44788.05,44068.01,44540.58,43.22388,3348,2022-03-26,BTC,41052.3826,,40997.581796072474,41208.75426268472
44530.04,46974.31,44430.17,46829.01,107.16026,9087,2022-03-27,BTC,41160.693,,41226.26525505003,41264.677205344575
46818.97,48203.19,46663.72,47071.72,178.701275,11041,2022-03-28,BTC,41253.8754,,41455.49877445983,41322.45872568941
47092.34,48101.76,46911.88,47423.0,93.715067,7728,2022-03-29,BTC,41325.8934,,41689.518430363365,41383.16062891638
47453.01,47694.91,46543.42,46966.07,102.184306,7338,2022-03-30,BTC,41384.6736,,41896.44202132951,41438.71196594209
47058.6,47601.77,45208.16,45483.67,100.26904,8330,2022-03-31,BTC,41406.7044,,42037.11762833619,41478.96030458944
45492.82,46708.66,44229.11,46267.8,102.550555,9201,2022-04-01,BTC,41462.266599999995,,42203.02674095047,41526.61045081243
46274.2,47207.71,45631.46,45808.74,90.287264,10014,2022-04-02,BTC,41530.4788,,42344.427260913195,41569.21870503321
45798.39,47443.47,45506.33,46397.51,91.060307,8051,2022-04-03,BTC,41613.3756,,42503.371682053854,41617.26140448562
46402.64,46881.5,45118.34,46586.31,116.845379,9702,2022-04-04,BTC,41704.457200000004,,42663.48691020861,41666.704674092725
46600.33,47189.77,45373.43,45507.23,81.579477,6432,2022-04-05,BTC,41763.7774,,42775.006247063175,41704.91885644007
45478.05,45500.7,43127.38,43127.38,140.713292,9309,2022-04-06,BTC,41735.601,,42788.82482560972,41719.072698664546
43158.72,43902.18,42743.1,43477.16,61.474214,4740,2022-04-07,BTC,41727.2956,,42815.81836186032,41736.56610464798
43465.23,43975.83,42106.44,42287.25,85.41257,7129,2022-04-08,BTC,41761.755600000004,,42795.09019080697,41742.04554639278
42240.35,42792.28,42131.46,42776.93,35.56458,1896,2022-04-09,BTC,41817.0892,,42794.3780264616,41752.34290414011
42775.68,43410.43,41872.61,42082.48,62.878373,3693,2022-04-10,BTC,41856.358,,42766.46045679644,41755.62785036758
42082.25,42406.01,39211.5,39530.2,160.300553,7502,2022-04-11,BTC,41880.166,,42639.548282020114,41733.48428966741
39529.98,40778.42,39260.45,40103.5,176.036963,7700,2022-04-12,BTC,41941.691,,42540.095408215406,41717.26554051649
40049.71,41566.78,39576.42,41133.85,181.517424,6412,2022-04-13,BTC,42000.138399999996,,42484.948529461864,41711.46041076011
41074.45,41492.74,39564.77,39905.52,104.642336,4972,2022-04-14,BTC,42054.1984,,42383.79446948297,41693.49085443414
39942.37,40850.16,39777.49,40569.57,73.866847,3542,2022-04-15,BTC,42099.647800000006,,42312.648411856186,41682.307562350215
40553.78,40702.54,40000.0,40377.6,51.376009,3486,2022-04-16,BTC,42122.7774,,42236.76416041085,41669.32539755071
40377.6,40593.69,39550.0,39682.49,66.614673,4325,2022-04-17,BTC,42134.205,,42136.59654627709,41649.555891107426
39671.76,41077.28,38549.85,40816.76,200.170102,10188,2022-04-18,BTC,42196.7196,,42084.838250344656,41641.26936482776
40804.2,41772.07,40577.18,41488.98,111.765252,4910,2022-04-19,BTC,42163.080200000004,,42061.47126013506,41639.75404776479
41480.93,42197.75,40847.45,41368.12,90.062711,6140,2022-04-20,BTC,42102.511399999996,,42034.28101463957,41637.05122141888
